VESSEL,APHRODITELEADER,,POSITIVELEADER,,KARIYUSHILEADER,,RHEALEADER,,CANOPUSLEADER,,APHRODITELEADER,,KARIYUSHILEADER,,RHEALEADER,
VOYAGE,49,,125,,77,,127,,203,,50,,78,,128,
OPERATION,NYK,,NYK,,NYK,,NYK,,NYK,,NYK,,NYK,,NYK,
FLAG,JAPAN,,PANAMA,,JAPAN,,JAPAN,,SINGAPORE,,JAPAN,,JAPAN,,JAPAN,
RAMPCAPACITY,80T,,100T,,100T,,80T,,100T,,80T,,100T,,80T,
MAXDECKHEIGHT,5.1M,,5.6M,,5.1M,,5.10m,,5.1M,,5.1M,,5.1M,,5.10m,
,ETA,ETD,ETA,ETD,ETA,ETD,ETA,ETD,ETA,ETD,ETA,ETD,,,ETA,ETD
Darwin,06-Oct,06-Oct,,,,,,,,,,,,,,
Townsville,,,,,24-Oct,24-Oct,,,,,,,,,,
Brisbane,12-Oct,16-Oct,14-Oct,19-Oct,,,31-Oct,02-Nov,17-Nov,19-Nov,,,02-Dec,04-Dec,09-Dec,11-Dec
PortKembla,17-Oct,19-Oct,21-Oct,21-Oct,28-Oct,28-Oct,,,21-Nov,23-Nov,24-Nov,26-Nov,06-Dec,08-Dec,13-Dec,15-Dec
Melbourne,21-Oct,22-Oct,23-Oct,23-Oct,31-Oct,31-Oct,05-Nov,06-Nov,24-Nov,26-Nov,28-Nov,29-Nov,,,17-Dec,18-Dec
Adelaide,24-Oct,24-Oct,25-Oct,25-Oct,,,08-Nov,09-Nov,,,01-Dec,02-Dec,,,,
Fremantle,28-Oct,30-Oct,,,08-Nov,08-Nov,13-Nov,15-Nov,,,06-Dec,08-Dec,,,23-Dec,25-Dec
Darwin,,,,,,,,,,,,,,,,
LaemChabang,11-Nov,12-Nov,08-Nov,09-Nov,18-Nov,19-Nov,25-Nov,26-Nov,08-Dec,09-Dec,17-Dec,18-Dec,21-Dec,22-Dec,05-Jan,06-Jan
Singapore,,,,,,,,,,,,,,,,
Shanghai,,,,,,,,,,,,,,,,
,,,FIXED,,FIXED,,FIXED,,FIXED,,FIXED,,NOTFIXED,,FIXED,
